seat,year,party,name,votes,votes_pc,winner
Dhaka-3,2008,BNP,Gayeshwar Chandra Roy,70680,36.71,no
Dhaka-6,1991,Independent,Sayed Sharafat Hossain,8,0.01,no
Dhaka-6,1991,Jatiya Janata Party (Asad),Md. Afzalul Huq Afzal,9,0.01,no
Comilla-3,2001,Independent,Md. Ainul Haque,12,0.01,no
Dhaka-5,1991,Jatiyatabadi Gonotantrik Chashi Dal,Afzaluddin Chowdhury,14,0.01,no
Dhaka-6,1991,BIF,Dealawar Hossain Bhuiyan,15,0.01,no
Dhaka-7,1991,Jatiyatabadi Gonotantrik Chashi Dal,M. A. Ahsan Atik,15,0.01,no
Dhaka-9,1991,Independent,A. Naser Ajam Khan,15,0.02,no
Dhaka-7,1996,NDP,Md. Abul Kashem,15,0.01,no
Dhaka-6,1991,Bangladesh People's League (Garib A Nawaz),Md. Shajahan Bhuiyan,16,0.01,no
Dhaka-11,1991,Jatiyatabadi Gonotantrik Chashi Dal,Abdul Latif,16,0.01,no
Dhaka-6,1996,Independent,A. K. M. Shajahan,16,0.01,no
Dhaka-6,1991,Bangladesh Manobatabadi Dal,Md. Shahbuddin Patawari,17,0.02,no
Dhaka-7,1991,Independent,Abdul Malek Chowdhury,17,0.01,no
Dhaka-6,1991,Jatia Mukti Dal,Noor Mohammad Khan,18,0.02,no
Dhaka-7,1996,Jatiya Janata Party (Asad),Nurjahan Taleb Munshi,18,0.01,no
Dhaka-9,1996,Independent,Md. Arif Howlader,18,0.01,no
Dhaka-9,2001,Independent,Rashidul Habib,18,0.01,no
Dhaka-6,1991,Jatiyatabadi Gonotantrik Chashi Dal,A. B. M. Giasuddin Raffel,19,0.02,no
Dhaka-6,1991,Independent,Mahbubur Rahman,19,0.02,no
Dhaka-9,1991,Bangladesh Muslim League,A. F. M. Harunar Rashid,19,0.02,no
Dhaka-5,1991,Bangladesh Muslim League,A. H. M. Amzad Hossian,20,0.01,no
Dhaka-6,1996,BKSMA,Krishok Md. Sadik,20,0.01,no
Dhaka-9,1996,Bangladesh Manabadhikar Dal,B. H. Rana,20,0.01,no
Dhaka-6,1991,Independent,A. F. Ruhullah Hasan,21,0.02,no
Dhaka-6,2001,Independent,M. A. Jabbar,21,0.01,no
Dhaka-7,2001,Independent,Nasimul Gani Khan,21,0.01,no
Dhaka-6,1996,NAP (Bhashani),Nazrul Islam,22,0.01,no
Dhaka-7,2001,BAKSAL,M. A. Shahid,22,0.01,no
Noakhali-6,2001,Independent,Jalal Ahammad,22,0.02,no
Comilla-3,2001,Independent,A. K. M. Iqbal Kabir,22,0.01,no
Dhaka-9,2008,JSD (Rab),Nurul Absar,22,0.01,no
Dhaka-6,1991,Dhumpan O MAdokdrobba Nibaronkari Manabsheba Schansta,Kh. Sulaman Ahmed Kamal,23,0.02,no
Dhaka-9,1996,Independent,Farid Uddin Zakir Khan,23,0.01,no
Gaibandha-1,2001,Independent,Manjurul Islam Liton,23,0.01,no
Dhaka-9,2001,Islamic Sashantantrik Andolan,Md. Abdul Halim,24,0.01,no
Dhaka-10,2001,Independent,Abu Saleh Md. Kibria,24,0.01,no
Chittagong-1,2001,Independent,Md. Nurul Abser Chowdhury,24,0.01,no
Dhaka-6,1991,BAKSAL,Hashim Uddin Haider Pahari,25,0.02,no
Dhaka-9,1991,Bangladesh Jatiya People's Party,Md. Abdul Hai,25,0.03,no
Dhaka-9,1991,Bangladesh Manobatabadi Dal,Md. Razu Ahmed Razu,25,0.03,no
Dhaka-5,1991,Janasakti Party,Md. Abdullah Al Naser,26,0.02,no
Dhaka-6,1991,Bangladesh Inquilab Party,Gazi Rabiul Islam Shagor,26,0.02,no
Dhaka-2,1996,Independent,Dewan Kamal Anwar,26,0.02,no
Dhaka-6,1996,UPP,Md. Mofazzal Hossain Kabir,26,0.01,no
Kushtia-3,2001,Independent,Md. Jahurul Islam,26,0.01,no
Faridpur-3,2001,Independent,Md. Khorsedul Alam Siraj,26,0.01,no
Dhaka-9,1991,NAP (Bhashani),Mujibur Rahman,27,0.03,no
Dhaka-10,1996,Independent,Syad Motahar Hossain,27,0.02,no
Dhaka-8,2001,Independent,Md. Mafizul Islam,27,0.01,no
Dhaka-6,1991,JSD (Siraj),Ahsan Haider,28,0.03,no
Dhaka-7,1991,Bangladesh People's League (Garib A Nawaz),Nasir Uddin Pannu,28,0.02,no
Dhaka-9,1991,Jatiya Sramajibi Party,Abdul Khalek,28,0.03,no
Narsingdi-2,1996,FP,Habibur Rahman Khan,28,0.03,no
Dhaka-6,2001,Bangladesh People's Congress,M. A. Latif Majumder,28,0.01,no
Comilla-3,2001,Krishak Sramik Janata League,Md. Amzad Hossain Bhuyan,28,0.01,no
Dhaka-8,2008,JSD (Rab),Md. Asadujjaman,28,0.02,no
Dhaka-5,1991,Independent,Md. Abul Hasan,29,0.02,no
Dhaka-10,1991,Jatiyatabadi Gonotantrik Dal,Md. Zakir Hossain,29,0.04,no
Dhaka-9,1996,Bangladesh Islamic Biplobi Parishad,Sk. Md. Obaidullah Bin S. Jalalabad,29,0.02,no
Noakhali-4,1996,Tahrikae Olama-i-Bangladesh,Md. Mostafa Bin Hossain,29,0.02,no
Patuakhali-3,2001,JP (Manju),Md. Moklesur Rahman Khan,29,0.02,no
Dhaka-10,2001,Independent,Mohammad Yusuf Haroon,29,0.02,no
