year,party,votes,votes_pc,seats
1991,BNP,10507549,30.81,140
1991,AL,10259866,30.08,88
1991,Jamaat,4136661,12.13,18
1991,JaPa,4063537,11.92,35
1991,BAKSAL,616014,1.81,5
1991,Zaker Party,417737,1.22,0
1991,CPB,407515,1.19,5
1991,JSD (Rab),269451,0.79,0
1991,Islami Oikya Jote,269434,0.79,1
1991,NAP (Muzaffar),259978,0.76,1
1991,JaSaD (Inu),171011,0.5,0
1991,Ganatantri Party,152529,0.45,1
1991,NDP,121918,0.36,1
1991,Bangladesh Janata Dal,120729,0.35,0
1991,United Communist League of Bangladesh,110517,0.32,0
1991,Bangladesh Khilafat Andolan,93049,0.27,0
1991,FP,90781,0.27,0
1991,JSD (Siraj),84276,0.25,1
1991,Bangladesh Muslim League,66565,0.2,0
1991,Workers Party,63434,0.19,1
1991,BaSaD,34868,0.1,0
1991,Bangladesh Muslim League,32693,0.1,0
1991,Janata Mukti Party,30962,0.09,0
1991,Jatiya Ganotantrik Party,24761,0.07,0
1991,Bangladesh Inquilab Party,24310,0.07,0
1991,Jatiya Oikkya Front,21624,0.06,0
1991,Jatiya Janata Party–Ganatantrik Oikkya Jote,20568,0.06,0
1991,Jomiyatay Wulamayya Islami Party,15073,0.04,0
1991,Bangladesh Samajtantrik Dal (Mahbub),13413,0.04,0
1991,Bangladesh Hindu League,11941,0.04,0
1991,Bangladesher Sammyabadi Dal (ML),11275,0.03,0
1991,Oikkya Prakriyya,11074,0.03,0
1991,Bangladesh Muslim League,11073,0.03,0
1991,NAP (Bhashani),9129,0.03,0
1991,Pragotishil Jatiyatabadi Dal,6677,0.02,0
1991,Sramik Krishak Samajbadi Dal,6396,0.02,0
1991,Jatiya Biplobi Front,3671,0.01,0
1991,Pragotishil Ganatantrik Sakt,3598,0.01,0
1991,Jatiya Janata Party (Ashraf),3187,0.01,0
1991,Bangladesh Jatiya Tanti Dal,3115,0.01,0
1991,Bangladesh Muslim League,2757,0.01,0
1991,Jatiya Jukta Front,2668,0.01,0
1991,Jatiya Janata Party (Asad),1570,0,0
1991,Bangladesh National Congress,1421,0,0
1991,Jatiyatabadi Ganatantrik Chhashi Dal,1317,0,0
1991,Gano Azadi League (Samad),1314,0,0
1991,Janasakti Party,1263,0,0
1991,Bangladesh Nezam-e-Islam Party,1236,0,0
1991,Islamic Samajtantrik Dal Bangladesh,1039,0,0
1991,Bangladesh Freedom League,1034,0,0
1991,Peoples Democratic Party,879,0,0
1991,Bangladesh People's League (Goariobi Newaz),742,0,0
1991,Jatiya Mukti Dal,723,0,0
1991,Bangladesh Jana Parishad,686,0,0
1991,Muslim Peoples Party,515,0,0
1991,Bangladesh Krishak Sramik Mukti Andolan,503,0,0
1991,Bangladesh National Hindu Party,502,0,0
1991,Jatiyatabadi Ganatantrik Dal,496,0,0
1991,Democratic League,453,0,0
1991,Humanitarian Organization for the Prevention of Smoking and Drug Abuse,453,0,0
1991,Jatiya Tarun Sangha,417,0,0
1991,Bangladesh Labour Party,318,0,0
1991,Bangladesh Manobatabadi Dal,294,0,0
1991,Ideal Party,251,0,0
1991,National Awami Party (Sadequr Rahman),248,0,0
1991,Bangladesh Khilafat Party,241,0,0
1991,Bangladesh Islamic Biplobi Parishad,214,0,0
1991,Bangladesh Islami Front,202,0,0
1991,Bangladesh Bekar Samaj,182,0,0
1991,Bangladesh Adarsha Krishak Dal,154,0,0
1991,Bangladesh Islamic Revolutionary Party,138,0,0
1991,Bangladesh Bekar Party,39,0,0
1991,Jatiya Sramajibi Party,28,0,0
1991,NAP (Bhashani),27,0,0
1991,Bangladesh Jatiya People's Party,25,0,0
1991,Independents,1497369,4.39,3
1996,AL,15882792,37.44,146
1996,BNP,14255986,33.61,116
1996,JaPa,6954981,16.4,32
1996,Jamaat,3653013,8.61,3
1996,Islami Oikya Jote,461517,1.09,1
1996,Zaker Party,167597,0.4,0
1996,JSD (Rab),97916,0.23,1
1996,Workers Party,56404,0.13,0
1996,Gano Forum,54250,0.13,0
1996,JaSaD (Inu),50944,0.12,0
1996,CPB,48549,0.11,0
1996,Jamiat Ulema-e-Islam Bangladesh,45585,0.11,0
1996,Sammilita Sangram Parishad,40803,0.1,0
1996,FP,38974,0.09,0
1996,Samridhya Bangladesh Andolon,27083,0.06,0
1996,Bangladesh Islami Front,23696,0.06,0
1996,Bangladesh Khilafat Andolan,18397,0.04,0
1996,Bangladesh Jatiyabadi Awami League,11190,0.03,0
1996,Islami Shasantantra Andolon,11159,0.03,0
1996,BaSaD,10234,0.02,0
1996,Bangladesh Samajtantrik Dal (Mahbub),6791,0.02,0
1996,NAP (Bhashani),5948,0.01,0
1996,Bangladesh Muslim League,4580,0.01,0
1996,Ganatantri Party,4114,0.01,0
1996,NAP (Muzaffar),3620,0.01,0
1996,Democratic Republican Party,3605,0.01,0
1996,Bangladesh Janata Party,3364,0.01,0
1996,Jatiya Janata Party (Nurul Islam),2986,0.01,0
1996,Jatiya Janata Party (Sheikh Asad),2395,0.01,0
1996,Social Democratic Party,1938,0,0
1996,Bangladesh Gano Azadi League,1683,0,0
1996,Progotisil Jatiata Badi Dal,1515,0,0
1996,Hak Kathar Mancha,1340,0,0
1996,Bangladesher Sammyabadi Dal (ML),1148,0,0
1996,Sramik Krishak Samajbadi Dal,964,0,0
1996,Communist Kendra,888,0,0
1996,Jatiya Biplobi Front,631,0,0
1996,Saat Dalya Jote (Mirpur),602,0,0
1996,Bangladesh Hindu League,570,0,0
1996,Bangladesh Peoples Party,558,0,0
1996,Bangladesh Bekar Samaj,548,0,0
1996,Bangladesh Tafsil Jati Federation (S.K. Mandal),537,0,0
1996,Desh Prem Party,532,0,0
1996,Ganotantrik Sarbahara Party,502,0,0
1996,Bangladesh Jatiya League (Sobhan),418,0,0
1996,Jana Dal,395,0,0
1996,Jatiya Samajtantrik Dal (Mahiuddin),393,0,0
1996,Jatiya Seba Dal,365,0,0
1996,NDP,353,0,0
1996,Bangladesh Krisak Sramik Janata Party,294,0,0
1996,Islami Al Zihad Dal,288,0,0
