seat,year,turnout,turnout_pc,voters,male_voters,female_voters,centers
Bagerhat-1,1991,128668,59.8,,,,
Bagerhat-2,1991,127664,61.3,,,,
Bagerhat-3,1991,99223,56.6,,,,
Barguna-1,1991,110705,45.3,,,,
Barguna-2,1991,69037,54.1,,,,
Barisal-1,1991,117021,60.6,,,,
Barisal-2,1991,109981,45.8,,,,
Barisal-3,1991,80487,37.7,,,,
Barisal-4,1991,73104,37.7,,,,
Barisal-5,1991,119194,47.9,,,,
Barisal-6,1991,103838,45.8,,,,
Bhola-1,1991,98003,47.7,,,,
Bhola-2,1991,79807,30.2,,,,
Bhola-3,1991,82216,41.7,,,,
Bhola-4,1991,71877,34.5,,,,
Bogra-1,1991,135195,52.1,,,,
Bogra-2,1991,100009,58.6,,,,
Bogra-3,1991,117406,68,,,,
Bogra-4,1991,120165,69.5,,,,
Bogra-5,1991,173861,62.1,,,,
Bogra-6,1991,176032,64.4,,,,
Bogra-7,1991,125379,66.8,,,,
Brahmanbaria-1,1991,90490,64.8,,,,
Brahmanbaria-2,1991,116643,53.4,,,,
Brahmanbaria-3,1991,176406,54.8,,,,
Brahmanbaria-4,1991,117432,50.4,,,,
Brahmanbaria-5,1991,144936,50,,,,
Brahmanbaria-6,1991,99258,55.8,,,,
Chandpur-1,1991,83848,46.5,,,,
Chandpur-2,1991,94050,47.3,,,,
Chandpur-3,1991,86536,43.5,,,,
Chandpur-4,1991,105101,43.5,,,,
Chandpur-5,1991,119372,44.2,,,,
Chapai Nawabganj-1,1991,174929,76.9,,,,
Chapai Nawabganj-3,1991,165042,71.1,,,,
Chittagong-1,1991,127810,60,,,,
Chittagong-10,1991,110351,51.8,,,,
Chittagong-11,1991,110343,59,,,,
Chittagong-12,1991,90451,47.7,,,,
Chittagong-13,1991,87563,56.7,,,,
Chittagong-14,1991,136150,49.5,,,,
Chittagong-15,1991,92319,48.4,,,,
Chittagong-2,1991,80394,58.2,,,,
Chittagong-3,1991,85647,51.2,,,,
Chittagong-4,1991,109790,43.7,,,,
Chittagong-5,1991,101780,52.3,,,,
Chittagong-6,1991,90019,47.5,,,,
Chittagong-7,1991,85923,54,,,,
Chittagong-8,1991,133148,56,,,,
Chittagong-9,1991,110140,49.4,,,,
Chuadanga-1,1991,159748,68.6,,,,
Chuadanga-2,1991,135671,64,,,,
Comilla-1,1991,97158,47.8,,,,
Comilla-10,1991,101838,42,,,,
Comilla-11,1991,61177,38.3,,,,
Comilla-2,1991,99950,41,,,,
