filename,name_bn,seat_no,district,division,wealth,income,tax,party,region,symbol
"47,151,মোঃ কামরুল হাসান.txt",মোঃ কামরুল হাসান,151,Mymensingh,Mymensingh,,99252026.0,26434.0,Jamaat,Rural,দাঁড়িপাল্লা
"8,289,মোহাম্মদ এনামুল হক.txt",মোহাম্মদ এনামুল হক,289,Chittagong,Chittagong,110433962.0,81758622.0,2422304.0,BNP,Rural,ধানের শীষ
"17,253,মোঃ জসীম উদ্দিন.txt",মোঃ জসীম উদ্দিন,253,Comilla,Chittagong,78526845.0,61613054.0,4212058.0,BNP,Rural,ধানের শীষ
"17,255,রেদোয়ান আহমেদ.txt",রেদোয়ান আহমেদ,255,Comilla,Chittagong,88176990.0,49833536.0,2386650.0,BNP,Rural,ধানের শীষ
"17,255,রেদোয়ান আহমেদ.txt",রেদোয়ান আহমেদ,255,Comilla,Chittagong,88176990.0,49833536.0,2386650.0,BNP,Rural,ধানের শীষ
"17,255,রেদোয়ান আহমেদ.txt",রেদোয়ান আহমেদ,255,Comilla,Chittagong,88176990.0,49833536.0,2386650.0,BNP,Rural,ধানের শীষ
"36,80,মাহমুদ হাসান খান.txt",মাহমুদ হাসান খান,80,Chuadanga,Khulna,832023433.0,48377626.0,9440673.0,BNP,Rural,ধানের শীষ
"49,163,মোঃ আনিসুজ্জামান খোকন.txt",মোঃ আনিসুজ্জামান খোকন,163,Kishoreganj,Dhaka,,45000000.0,,Independent,Rural,ময়ূর
"55,190,মোঃ আনিসুজ্জামান খোকন.txt",মোঃ আনিসুজ্জামান খোকন,190,Dhaka,Dhaka,,45000000.0,,Independent,Urban,ময়ূর
"41,97,শেখ ফরিদুল ইসলাম.txt",শেখ ফরিদুল ইসলাম,97,Bagerhat,Khulna,,42897212.0,855498.0,BNP,Rural,ধানের শীষ
"47,153,লুৎফুল্লাহেল মাজেদ.txt",লুৎফুল্লাহেল মাজেদ,153,Mymensingh,Mymensingh,219432069.0,42847698.0,6724191.0,BNP,Rural,ধানের শীষ
"2,121,গোলাম কিবরিয়া টিপু.txt",গোলাম কিবরিয়া টিপু,121,Barisal,Barisal,,38550662.0,,JaPa,Rural,লাঙ্গল
"55,190,স. ম. খালিদুজ্জামান.txt",স. ম. খালিদুজ্জামান,190,Dhaka,Dhaka,68825703.0,36368527.0,,Jamaat,Urban,দাঁড়িপাল্লা
"31,58,মোঃ তাইফুল ইসলাম টিপু.txt",মোঃ তাইফুল ইসলাম টিপু,58,Natore,Rajshahi,36845653.0,36270156.0,,Independent,Rural,কলস
"55,191,মোঃ ইসমাইল হোসেন.txt",মোঃ ইসমাইল হোসেন,191,Dhaka,Dhaka,,30252026.0,742232.0,Independent,Urban,হরিণ
"22,16,মোঃ মসিউর রহমান রাঙ্গাঁ.txt",মোঃ মসিউর রহমান রাঙ্গাঁ,16,Lalmonirhat,Rangpur,,29142379.0,,JaPa,Rural,লাঙ্গল
"32,67,এম, এ, মুহিত.txt",এম এ মুহিত,67,Sirajganj,Rajshahi,213481238.0,27921406.0,,BNP,Rural,ধানের শীষ
"27,40,খান কুদরত-ই- সাকলায়েন.txt",খান কুদরত-ই- সাকলায়েন,40,Bogra,Rajshahi,,26252026.0,,LDP,Rural,ছাতা
"8,291,আলহাজ্ব জসীম উদ্দীন আহমেদ.txt",আলহাজ্ব জসীম উদ্দীন আহমেদ,291,Chittagong,Chittagong,405821013.0,24245738.0,,BNP,Rural,ধানের শীষ
"51,171,মোঃ  আব্দুল্লাহ্.txt",মোঃ  আব্দুল্লাহ্,171,Munshiganj,Dhaka,425111112.0,22460185.0,8193972.0,BNP,Rural,ধানের শীষ
