filename,name_bn,seat_no,district,division,wealth,income,tax,party,region,symbol
"36,80,মাহমুদ হাসান খান.txt",মাহমুদ হাসান খান,80,Chuadanga,Khulna,832023433.0,48377626.0,9440673.0,BNP,Rural,ধানের শীষ
"52,198,মোঃ আজম খান.txt",মোঃ আজম খান,198,Gazipur,Dhaka,486253247.0,3394953.0,731507.0,Janatar Dol,Rural,কলম
"13,263,মোঃ আবদুল হান্নান.txt",মোঃ আবদুল হান্নান,263,Chandpur,Chittagong,425977258.0,3745049.0,901891.0,Independent,Rural,চিংড়ি
"51,171,মোঃ  আব্দুল্লাহ্.txt",মোঃ  আব্দুল্লাহ্,171,Munshiganj,Dhaka,425111112.0,22460185.0,8193972.0,BNP,Rural,ধানের শীষ
"8,291,আলহাজ্ব জসীম উদ্দীন আহমেদ.txt",আলহাজ্ব জসীম উদ্দীন আহমেদ,291,Chittagong,Chittagong,405821013.0,24245738.0,,BNP,Rural,ধানের শীষ
"8,287,সাঈদ আল নোমান.txt",সাঈদ আল নোমান,287,Chittagong,Chittagong,307745948.0,9781350.0,3214029.0,BNP,Urban,ধানের শীষ
"50,170,আফরোজা খানম.txt",আফরোজা খানম,170,Manikganj,Dhaka,282495205.0,,,BNP,Urban,ধানের শীষ
"52,194,মোঃ মজিবুর রহমান.txt",মোঃ মজিবুর রহমান,194,Gazipur,Dhaka,249498772.0,4751073.0,1278969.0,BNP,Rural,ধানের শীষ
"47,153,লুৎফুল্লাহেল মাজেদ.txt",লুৎফুল্লাহেল মাজেদ,153,Mymensingh,Mymensingh,219432069.0,42847698.0,6724191.0,BNP,Rural,ধানের শীষ
"32,67,এম, এ, মুহিত.txt",এম এ মুহিত,67,Sirajganj,Rajshahi,213481238.0,27921406.0,,BNP,Rural,ধানের শীষ
"51,173,মোঃ মহিউদ্দিন.txt",মোঃ মহিউদ্দিন,173,Munshiganj,Dhaka,193133194.0,17459730.0,5745503.0,Independent,Urban,ফুটবল
"27,40,মোঃ দবিবুর রহমান.txt",মোঃ দবিবুর রহমান,40,Bogra,Rajshahi,188228220.0,12579365.0,4098730.0,Jamaat,Rural,দাঁড়িপাল্লা
"22,18,আসাদুল হাবিব দুলু.txt",আসাদুল হাবিব দুলু,18,Lalmonirhat,Rangpur,167260453.0,20252026.0,4335016.0,BNP,Urban,ধানের শীষ
"12,248,মোহাম্মদ আবু কায়েস সিকদার.txt",মোহাম্মদ আবু কায়েস সিকদার,248,Brahmanbaria,Chittagong,155857143.0,11311285.0,2504383.0,Independent,Rural,ফুটবল
"8,285,এরশাদ উল্লাহ.txt",এরশাদ উল্লাহ,285,Chittagong,Chittagong,150804197.0,4459938.0,642427.0,BNP,Rural,ধানের শীষ
"47,150,মোহাম্মদ জাকির হোসেন.txt",মোহাম্মদ জাকির হোসেন,150,Mymensingh,Mymensingh,149861354.0,4717337.0,1190494.0,BNP,Rural,ধানের শীষ
"54,206,আজহারুল ইসলাম মান্নান.txt",আজহারুল ইসলাম মান্নান,206,Narayanganj,Dhaka,146817111.0,3012057.0,823727.0,BNP,Urban,ধানের শীষ
"35,78,আনোয়ার খান.txt",আনোয়ার খান,78,Kushtia,Khulna,121995200.0,1520000.0,184800.0,Islami Andolan Bangladesh,Rural,হাতপাখা
"37,81,মোঃ আসাদুজ্জামান.txt",মোঃ আসাদুজ্জামান,81,Jhenaidah,Khulna,119359333.0,9480587.0,2763139.0,Bangladesh Khelafat Majlish,Rural,ধানের শীষ
"37,81,মোঃ আসাদুজ্জামান.txt",মোঃ আসাদুজ্জামান,81,Jhenaidah,Khulna,119359333.0,9480587.0,2763139.0,BNP,Rural,ধানের শীষ
