constituencyID,w_med
1,
2,
3,2959659.5
4,4352780.0
5,1875000.0
8,10235843.0
9,280000.0
10,
11,3722500.0
12,14890565.5
13,28173087.5
14,
15,4297629.0
16,23559242.0
17,11471447.0
18,16383638.5
23,775450.0
24,
25,38726807.5
26,22607416.5
27,
28,1940000.0
29,1420000.0
30,5642560.0
31,5176277.0
32,
33,1401600.0
34,2183468.5
35,4359570.0
36,20206280.0
37,55327199.0
38,1080000.0
39,
40,94760569.0
41,2563000.0
42,1145000.0
43,
44,1320800.0
45,866749.0
46,
47,
48,500000.0
49,
50,
51,
52,3157400.0
53,23139034.0
54,14643251.0
55,
56,65009169.0
57,
58,3810000.0
59,18658456.0
60,
61,3129571.5
62,2018000.0
63,2062173.0
64,
65,2660000.0
66,8151150.0
67,5101555.5
70,19797226.0
71,
72,3035445.0
73,
74,2596310.0
75,2660967.0
76,2502000.0
77,
78,61422600.0
79,
80,420270392.0
81,62308128.5
82,4084817.0
83,
84,2888469.5
85,2200000.0
86,7490208.0
87,7532027.0
88,1235283.0
89,11133611.0
90,86692000.0
91,
92,
93,3568000.0
94,4135440.0
95,
96,1710000.0
97,
98,
100,5190910.0
105,1050000.0
106,4234945.0
107,5291000.0
108,4373658.0
109,2301950.0
110,5819038.0
115,11980525.0
116,1516057.5
117,3542993.5
118,
119,1475000.0
120,2673590.0
121,17514344.0
122,4624750.0
123,
124,4357296.0
125,46854516.0
126,6767344.0
127,
128,9008434.0
129,9052088.0
130,
131,2027257.0
132,9236969.5
133,
134,2932500.0
135,5016891.0
136,736070.0
137,
138,1621873.0
139,12863283.0
140,11206062.0
141,8566581.5
142,12264500.0
143,10793040.0
144,
145,2065400.0
146,
147,
148,
149,12850034.0
150,149861354.0
151,
152,5922323.0
153,219432069.0
154,
155,2761926.5
156,1192500.0
157,
158,5232040.0
159,5490602.0
160,1230000.0
161,
162,13154131.5
163,2028324.0
164,22487623.0
165,3235503.0
166,
167,5690000.0
168,
169,2009597.0
170,27959447.5
171,212920556.0
172,2529974.0
173,1145000.0
174,42471081.0
175,73785212.0
176,3080000.0
177,
178,7103411.0
179,1290400.0
180,9114000.0
181,3636170.0
182,3409184.5
183,11517391.5
184,2688945.5
185,6517520.0
186,14410806.0
187,11928086.0
188,9143775.0
189,12136872.0
190,68825703.0
191,3039742.0
192,918755.0
193,12230064.0
194,6583044.0
195,2844271.0
196,
197,7106973.0
198,260625807.5
199,1160187.0
200,3991519.0
201,4351324.0
202,2563705.5
203,
204,6042000.0
205,49199139.5
206,44719607.5
207,15100100.0
208,1026110.0
209,2150000.0
210,12559815.0
211,15212117.5
212,
213,3195552.5
214,23128013.5
215,5310804.0
216,4783577.0
217,3497310.0
218,35553163.5
219,2344500.0
220,5456469.0
224,2542109.0
225,
226,83002576.0
227,990000.0
228,645000.0
229,65358543.5
230,14710771.0
231,8447554.0
232,
233,4181501.0
234,4690107.0
235,24537000.0
236,22194604.0
237,21712768.0
238,1209264.0
239,75130837.0
240,
241,
242,10527828.0
243,2222000.0
244,
245,12547978.0
246,795640.0
247,4571713.0
248,4662602.0
249,3571020.0
250,16081830.0
251,4174389.0
252,8451803.0
253,7144645.5
254,8363255.0
255,88176990.0
256,
257,11707842.0
258,3871849.5
259,7754596.0
260,
261,2090000.0
262,4194000.0
263,425977258.0
264,4079389.0
265,4271000.0
266,21005756.5
267,4619000.0
268,95588024.0
269,7115561.0
270,13611884.0
271,
272,3724930.0
273,
274,8395625.0
275,
276,20466283.5
277,3590000.0
278,10566481.0
279,67620123.0
280,15477022.0
281,1565518.0
282,26244348.0
283,
284,1940346.0
285,18422920.5
286,14652802.5
287,6854594.5
288,4068152.0
289,6721612.0
290,9378473.0
291,56559591.0
292,
293,6058151.0
294,8601418.0
295,5008142.0
296,75028504.0
297,
298,1733046.0
299,2520000.0
