seat,vote_diff_pc
Lakshmipur-4,2.16
Cox's Bazar-2,2.6
Kushtia-4,3.22
Comilla-7,3.26
Kishoreganj-4,3.47
Nilphamari-2,3.54
Natore-3,3.57
Bagerhat-2,3.96
Noakhali-6,3.96
Jessore-1,4.12
Comilla-3,4.28
Chandpur-5,4.36
Sirajganj-5,4.38
Gazipur-3,4.48
Nilphamari-1,4.52
Khulna-4,4.64
Nilphamari-4,4.7
Netrokona-1,4.83
Netrokona-3,4.88
Chittagong-9,5.11
Mymensingh-3,5.12
Tangail-4,5.2
Faridpur-2,5.24
Magura-2,5.26
Dinajpur-6,5.28
Noakhali-4,5.29
Satkhira-3,5.32
Brahmanbaria-1,5.42
Habiganj-1,5.48
Comilla-6,5.48
Chittagong-10,5.54
Gazipur-4,5.65
Rajbari-1,5.66
Rajshahi-5,5.68
Chuadanga-2,5.68
Meherpur-2,5.7
Mymensingh-8,5.82
Nilphamari-3,5.88
Sunamganj-4,6.04
Chapai Nawabganj-1,6.1
Sylhet-1,6.64
Chittagong-7,6.66
Brahmanbaria-3,6.69
Chittagong-15,6.81
Panchagarh-1,6.94
Barisal-2,7
Bhola-1,7.12
Lalmonirhat-2,7.14
Natore-2,7.15
Satkhira-4,7.22
Noakhali-5,7.28
Netrokona-4,7.36
Pabna-4,7.58
Jessore-6,7.58
Rangpur-2,7.6
Tangail-5,7.7
Jhenaidah-1,7.79
Thakurgaon-3,7.85
Khulna-6,7.88
Habiganj-3,7.94
Sunamganj-5,7.95
Narsingdi-5,8.09
Pabna-1,8.25
Bogra-5,8.26
Patuakhali-1,8.26
Pabna-2,8.29
Rajshahi-4,8.3
Jessore-2,8.41
Sirajganj-3,8.44
Barisal-1,8.44
Mymensingh-6,8.44
Habiganj-4,8.46
Shariatpur-3,8.5
Naogaon-2,8.52
Chandpur-1,8.53
Comilla-9,8.57
Narayanganj-4,8.6
Moulvibazar-1,8.6
Pirojpur-1,8.61
Sylhet-6,8.61
Kurigram-2,8.64
Jhenaidah-2,8.68
Narsingdi-1,8.7
Mymensingh-9,8.74
Panchagarh-2,8.82
Jhenaidah-4,8.84
Jessore-5,8.92
Jessore-3,8.93
Dhaka-11,8.93
Tangail-2,9.01
Magura-1,9.09
Mymensingh-4,9.15
Chittagong-5,9.18
Natore-4,9.3
Faridpur-1,9.38
Narayanganj-2,9.44
Natore-1,9.5
Khulna-3,9.58
Dinajpur-2,9.6
Chittagong-11,9.72
Tangail-6,9.75
Kishoreganj-1,9.77
Netrokona-2,9.86
Chuadanga-1,9.88
Sylhet-2,9.92
Satkhira-2,10.02
Chittagong-1,10.06
Chittagong-12,10.08
Sirajganj-2,10.09
Satkhira-1,10.12
Lalmonirhat-3,10.18
Thakurgaon-2,10.2
Lalmonirhat-1,10.28
Sherpur-1,10.47
Sunamganj-2,10.51
