seat,vote_diff_pc
Gopalganj-3,90.09
Gopalganj-2,85.18
Gopalganj-1,75.37
Bogra-7,51.12
Rangpur-3,48.25
Madaripur-2,47.7
Bogra-6,41.34
Madaripur-3,41.22
Panchagarh-1,
Panchagarh-2,
Thakurgaon-1,
Thakurgaon-2,
Thakurgaon-3,
Dinajpur-1,
Dinajpur-2,
Dinajpur-3,
Dinajpur-4,
Dinajpur-5,
Dinajpur-6,
Nilphamari-1,
Nilphamari-2,
Nilphamari-3,
Nilphamari-4,
Lalmonirhat-1,
Lalmonirhat-2,
Lalmonirhat-3,
Rangpur-1,
Rangpur-2,
Rangpur-4,
Rangpur-5,
Rangpur-6,
Kurigram-1,
Kurigram-2,
Kurigram-3,
Kurigram-4,
Gaibandha-1,
Gaibandha-2,
Gaibandha-3,
Gaibandha-4,
Gaibandha-5,
Joypurhat-1,
Joypurhat-2,
Bogra-1,
Bogra-2,
Bogra-3,
Bogra-4,
Bogra-5,
Chapai Nawabganj-1,
Chapai Nawabganj-2,
Chapai Nawabganj-3,
Naogaon-1,
Naogaon-2,
Naogaon-3,
Naogaon-4,
Naogaon-5,
Naogaon-6,
Rajshahi-1,
Rajshahi-2,
Rajshahi-3,
Rajshahi-4,
Rajshahi-5,
Rajshahi-6,
Natore-1,
Natore-2,
Natore-3,
Natore-4,
Sirajganj-1,
Sirajganj-2,
Sirajganj-3,
Sirajganj-4,
Sirajganj-5,
Sirajganj-6,
Pabna-1,
Pabna-2,
Pabna-3,
Pabna-4,
Pabna-5,
Meherpur-1,
Meherpur-2,
Kushtia-1,
Kushtia-2,
Kushtia-3,
Kushtia-4,
Chuadanga-1,
Chuadanga-2,
Jhenaidah-1,
Jhenaidah-2,
Jhenaidah-3,
Jhenaidah-4,
Jessore-1,
Jessore-2,
Jessore-3,
Jessore-4,
Jessore-5,
Jessore-6,
Magura-1,
Magura-2,
Narail-1,
Narail-2,
Bagerhat-1,
Bagerhat-2,
Bagerhat-3,
Bagerhat-4,
Khulna-1,
Khulna-2,
Khulna-3,
Khulna-4,
Khulna-5,
Khulna-6,
Satkhira-1,
Satkhira-2,
Satkhira-3,
Satkhira-4,
Barguna-1,
Barguna-2,
Patuakhali-1,
Patuakhali-2,
Patuakhali-3,
Patuakhali-4,
Bhola-1,
Bhola-2,
Bhola-3,
Bhola-4,
Barisal-1,
Barisal-2,
Barisal-3,
Barisal-4,
Barisal-5,
Barisal-6,
Jhalokati-1,
Jhalokati-2,
Pirojpur-1,
Pirojpur-2,
Pirojpur-3,
Tangail-1,
Tangail-2,
Tangail-3,
Tangail-4,
Tangail-5,
Tangail-6,
Tangail-7,
Tangail-8,
Jamalpur-1,
Jamalpur-2,
Jamalpur-3,
Jamalpur-4,
Jamalpur-5,
Sherpur-1,
Sherpur-2,
Sherpur-3,
Mymensingh-1,
Mymensingh-2,
Mymensingh-3,
Mymensingh-4,
Mymensingh-5,
Mymensingh-6,
Mymensingh-7,
Mymensingh-8,
Mymensingh-9,
Mymensingh-10,
Mymensingh-11,
Netrokona-1,
Netrokona-2,
Netrokona-3,
Netrokona-4,
Netrokona-5,
Kishoreganj-1,
Kishoreganj-2,
Kishoreganj-3,
Kishoreganj-4,
Kishoreganj-5,
Kishoreganj-6,
Manikganj-1,
Manikganj-2,
Manikganj-3,
