seat,1991,1996,2001,2008,change_count
Bagerhat-2,BNP,AL,BNP,AL,3
Bagerhat-4,Jamaat,AL,Jamaat,AL,3
Barguna-2,Independent,Islami Oikya Jote,BNP,AL,3
Barisal-2,Workers Party,JaPa,BNP,AL,3
Barisal-6,BNP,AL,BNP,JaPa,3
Brahmanbaria-4,BNP,AL,BNP,AL,3
Brahmanbaria-5,JaPa,AL,BJP,AL,3
Brahmanbaria-6,BNP,AL,BNP,AL,3
Chandpur-2,BNP,AL,BNP,AL,3
Chandpur-5,BNP,AL,BNP,AL,3
Chittagong-1,BNP,AL,BNP,AL,3
Chittagong-9,BNP,AL,BNP,AL,3
Comilla-10,BNP,AL,BNP,AL,3
Comilla-11,BNP,AL,BNP,AL,3
Comilla-6,Independent,AL,BNP,AL,3
Comilla-7,BNP,AL,BNP,AL,3
Comilla-9,JaPa,AL,BNP,AL,3
Cox's Bazar-2,BAKSAL,BNP,AL,Jamaat,3
Cox's Bazar-4,BNP,AL,BNP,AL,3
Dhaka-10,BNP,AL,BNP,AL,3
Dhaka-11,BNP,AL,BNP,AL,3
Dhaka-4,BNP,AL,BNP,AL,3
Dhaka-5,BNP,AL,BNP,AL,3
Dhaka-6,BNP,AL,BNP,AL,3
Dhaka-8,BNP,AL,BNP,Workers Party,3
Dhaka-9,BNP,AL,BNP,AL,3
Dinajpur-6,Jamaat,AL,Jamaat,AL,3
Jamalpur-4,BNP,AL,BNP,AL,3
Jhalokati-1,BNP,JaPa,BNP,AL,3
Jhalokati-2,BNP,JaPa,BNP,AL,3
Khulna-3,BNP,AL,BNP,AL,3
Khulna-6,Jamaat,AL,Jamaat,AL,3
Kurigram-3,AL,JaPa,IJOF,JaPa,3
Moulvibazar-1,JaPa,AL,BNP,AL,3
Moulvibazar-2,JaPa,AL,Independent,JaPa,3
Mymensingh-4,BNP,JaPa,BNP,AL,3
Mymensingh-6,BNP,AL,Independent,AL,3
Mymensingh-8,JaPa,AL,BNP,AL,3
Mymensingh-9,BNP,AL,BNP,AL,3
Narayanganj-1,BNP,AL,BNP,AL,3
Narayanganj-2,BNP,AL,BNP,AL,3
Narayanganj-4,BNP,AL,BNP,AL,3
Narayanganj-5,BNP,AL,BNP,JaPa,3
Narsingdi-4,BNP,AL,BNP,AL,3
Netrokona-1,BNP,AL,BNP,AL,3
Netrokona-4,BNP,AL,BNP,AL,3
Nilphamari-1,AL,JaPa,AL,JaPa,3
Nilphamari-4,NAP (Muzaffar),JaPa,BNP,AL,3
Noakhali-5,JaPa,AL,BNP,AL,3
