seat,Jamaat,JaPa,total,party
Gaibandha-1,1,3,4,JaPa
Satkhira-2,3,1,4,Jamaat
Chittagong-14,3,0,3,Jamaat
Gaibandha-3,0,3,3,JaPa
Kurigram-1,0,3,3,JaPa
Kurigram-2,0,3,3,JaPa
Lalmonirhat-2,0,3,3,JaPa
Lalmonirhat-3,0,3,3,JaPa
Nilphamari-3,2,1,3,Jamaat
Rangpur-1,0,3,3,JaPa
Rangpur-2,0,3,3,JaPa
Rangpur-3,0,3,3,JaPa
Bagerhat-4,2,0,2,Jamaat
Dinajpur-6,2,0,2,Jamaat
Gaibandha-4,0,2,2,JaPa
Gaibandha-5,0,2,2,JaPa
Habiganj-3,0,2,2,JaPa
Khulna-6,2,0,2,Jamaat
Kurigram-3,0,2,2,JaPa
Kurigram-4,0,2,2,JaPa
Lalmonirhat-1,0,2,2,JaPa
Moulvibazar-2,0,2,2,JaPa
Nilphamari-1,0,2,2,JaPa
Pabna-1,2,0,2,Jamaat
Pabna-5,2,0,2,Jamaat
Pirojpur-1,2,0,2,Jamaat
Pirojpur-2,0,2,2,JaPa
Rangpur-4,0,2,2,JaPa
Rangpur-5,0,2,2,JaPa
Rangpur-6,0,2,2,JaPa
Satkhira-3,2,0,2,Jamaat
Satkhira-4,0,2,2,JaPa
Sylhet-3,0,2,2,JaPa
Tangail-5,0,2,2,JaPa
