seat,year,party,turnout_pc
Mymensingh-1,2008,AL,95.6
Rajshahi-5,2008,AL,94.6
Naogaon-2,2008,AL,94.4
Cox's Bazar-3,2008,BNP,94.4
Jhenaidah-3,2008,AL,94.2
Brahmanbaria-1,2008,AL,94.1
Naogaon-3,2008,AL,94.0
Jessore-2,2008,AL,93.7
Natore-3,2008,AL,93.5
Jessore-5,2008,AL,93.3
Rajshahi-4,2008,AL,93.3
Meherpur-2,2008,BNP,93.1
Natore-4,2008,AL,93.1
Rajshahi-1,2008,AL,93.0
Panchagarh-2,2008,AL,93.0
Thakurgaon-1,2008,AL,92.94
Dinajpur-1,2008,AL,92.9
Rajshahi-3,2008,AL,92.9
Jessore-1,2008,AL,92.9
Dinajpur-2,2008,AL,92.9
Sirajganj-3,2008,AL,92.8
Chapai Nawabganj-1,2008,AL,92.8
Rangpur-4,2008,AL,92.8
Chuadanga-2,2008,AL,92.7
Thakurgaon-2,2008,AL,92.7
Satkhira-1,2008,AL,92.7
Dinajpur-4,2008,AL,92.7
Chittagong-9,2008,AL,92.4
Joypurhat-2,2008,BNP,92.4
Jhenaidah-1,2008,AL,92.3
Rajshahi-4,2001,BNP,92.2
Bogra-2,2008,BNP,92.1
Chuadanga-1,2008,AL,92.1
Panchagarh-1,2008,AL,91.7
Pabna-4,2008,AL,91.6
Bogra-5,2008,AL,91.6
Rajshahi-6,2008,AL,91.6
Jhenaidah-4,2008,AL,91.6
Kishoreganj-6,2008,AL,91.5
Naogaon-6,2008,AL,91.5
Dinajpur-6,2008,AL,91.4
Jhenaidah-2,2008,AL,91.4
Narayanganj-2,2008,AL,91.3
Magura-2,2008,AL,91.2
Jessore-4,2008,AL,91.2
Kushtia-1,2008,AL,91.2
Pabna-1,2008,AL,91.2
Pabna-3,2008,AL,91.2
Khulna-5,2008,AL,91.2
Natore-2,2008,AL,91.1
Kushtia-4,2008,AL,91.1
Magura-1,2008,AL,91.1
Nilphamari-4,2008,AL,91.07
Jessore-6,2008,AL,91.0
Dinajpur-5,2008,AL,90.9
Joypurhat-1,2008,BNP,90.9
Bogra-4,2008,BNP,90.9
Nilphamari-2,2008,AL,90.7
Meherpur-1,2008,AL,90.6
Comilla-9,2008,AL,90.5
Satkhira-3,2008,AL,90.5
Rangpur-5,2008,AL,90.4
Lalmonirhat-1,2008,AL,90.4
Bogra-1,2008,AL,90.2
Tangail-4,2008,AL,90.2
Natore-1,1996,BNP,90.1
Pabna-2,2008,AL,90.1
Tangail-1,2008,AL,90.0
Jessore-6,2001,AL,90.0
Rangpur-6,2008,AL,90.0
Bogra-3,2008,BNP,90.0
Satkhira-1,2001,BNP,89.9
Chapai Nawabganj-1,2001,BNP,89.7
Narsingdi-3,2008,AL,89.7
Khulna-1,2008,AL,89.7
Naogaon-5,2008,AL,89.7
Manikganj-1,2008,AL,89.6
Gaibandha-4,2008,AL,89.5
Bagerhat-1,2008,AL,89.4
Faridpur-1,2008,AL,89.4
Bagerhat-3,2008,AL,89.3
Cox's Bazar-1,2008,BNP,89.3
Meherpur-1,2001,BNP,89.3
Gazipur-5,2008,AL,89.1
Chuadanga-2,2001,BNP,89.1
Dinajpur-3,2008,AL,89.1
Khulna-6,2008,AL,89.1
Naogaon-2,2001,BNP,89.1
Faridpur-2,2008,AL,89.0
Sirajganj-5,2008,AL,89.0
Bagerhat-2,2008,AL,89.0
Khulna-4,2008,AL,88.9
Narsingdi-5,2008,AL,88.9
Jhenaidah-3,1996,BNP,88.8
Dhaka-1,2008,AL,88.8
