seat,year,party,votes_pc
Gopalganj-3,2008,AL,97.14
Gopalganj-2,2008,AL,96.06
Gopalganj-3,2001,AL,94.74
Gopalganj-2,2001,AL,94.05
Gopalganj-3,1996,AL,92.18
Cox's Bazar-3,2001,BNP,91.91
Gopalganj-1,2008,AL,91.6
Gopalganj-1,1996,AL,86.9
Gopalganj-2,1996,AL,86.31
Madaripur-2,2008,AL,83.29
Manikganj-2,2001,BNP,81.53
Sirajganj-1,2008,AL,80.66
Rangpur-6,2008,AL,79.98
Bogra-7,2001,BNP,78.95
Bogra-6,2001,BNP,78.56
Gopalganj-1,2001,AL,78.51
Madaripur-1,2008,AL,76.77
Gopalganj-2,1991,AL,75.79
Madaripur-2,2001,AL,73.91
Chittagong-1,1996,AL,72.86
Lakshmipur-2,2001,BNP,72.23
Feni-1,2001,BNP,72.21
Gopalganj-3,1991,AL,72.2
Bogra-7,1996,BNP,72.08
Comilla-1,1991,BNP,71.99
Sirajganj-1,2001,AL,71.72
Bogra-6,2008,BNP,71.59
Bogra-7,2008,BNP,71.19
Habiganj-3,2008,AL,70.37
Sunamganj-3,2008,AL,69.81
Madaripur-3,2008,AL,68.9
Jamalpur-5,2008,AL,68.66
Comilla-6,2001,BNP,68.49
Mymensingh-7,2008,AL,68.46
Comilla-1,1996,BNP,68.43
Feni-3,2001,BNP,68.37
Bagerhat-1,2008,AL,68.31
Mymensingh-9,2008,AL,68.01
Sirajganj-1,1996,AL,68.0
Mymensingh-11,2008,AL,68.0
Mymensingh-8,2008,AL,67.99
Mymensingh-3,2008,AL,67.95
Gazipur-3,2008,AL,67.71
Cox's Bazar-2,2001,AL,67.6
Comilla-1,2001,BNP,67.42
Chandpur-2,1996,AL,67.13
Sherpur-2,2008,AL,67.05
Madaripur-1,2001,AL,66.95
Bogra-7,1991,BNP,66.88
Barisal-4,2001,BNP,66.84
Netrokona-2,2008,AL,66.37
Faridpur-4,2008,AL,66.18
Lakshmipur-1,2001,BNP,65.92
Bhola-3,2001,BNP,65.8
Mymensingh-10,2008,AL,65.71
Tangail-1,2008,AL,65.7
Sirajganj-5,2001,BNP,65.45
Pirojpur-2,2008,AL,65.43
Dhaka-7,2008,AL,65.41
Feni-1,2008,BNP,65.39
Sunamganj-5,2008,AL,65.34
Mymensingh-4,2008,AL,65.32
Gopalganj-1,1991,AL,65.06
Shariatpur-3,2008,AL,64.94
Dhaka-9,2008,AL,64.93
Chittagong-3,1991,AL,64.83
