seat,AL,BNP,win AL
Bagerhat-1,4,0,4
Bagerhat-3,4,0,4
Dinajpur-5,4,0,4
Faridpur-1,4,0,4
Faridpur-4,4,0,4
Gopalganj-1,4,0,4
Gopalganj-2,4,0,4
Gopalganj-3,4,0,4
Habiganj-2,4,0,4
Habiganj-4,4,0,4
Jamalpur-3,4,0,4
Khulna-1,4,0,4
Kishoreganj-5,4,0,4
Madaripur-1,4,0,4
Madaripur-3,4,0,4
Moulvibazar-4,4,0,4
Mymensingh-10,4,0,4
Narail-2,4,0,4
Patuakhali-3,4,0,4
Patuakhali-4,4,0,4
Shariatpur-2,4,0,4
Sirajganj-1,4,0,4
Sunamganj-3,4,0,4
Tangail-1,4,0,4
Barguna-1,3,0,3
Brahmanbaria-1,3,0,3
Chittagong-4,3,0,3
Dinajpur-1,3,0,3
Gazipur-1,3,0,3
Habiganj-1,3,0,3
Jessore-2,3,0,3
Jessore-4,3,0,3
Jessore-6,3,0,3
Khulna-5,3,0,3
Madaripur-2,3,0,3
Narail-1,3,0,3
Shariatpur-1,3,0,3
Shariatpur-3,3,0,3
Sherpur-1,3,0,3
Thakurgaon-2,3,0,3
Bagerhat-4,2,0,2
Bandarban,2,0,2
Barisal-1,3,1,2
Bhola-2,3,1,2
Brahmanbaria-5,2,0,2
Chittagong-3,3,1,2
Comilla-5,3,1,2
Dinajpur-2,3,1,2
Dinajpur-4,3,1,2
Dinajpur-6,2,0,2
Gazipur-2,3,1,2
Gazipur-3,3,1,2
Gazipur-4,3,1,2
Habiganj-3,2,0,2
Jamalpur-1,3,1,2
Jamalpur-2,3,1,2
Jamalpur-5,3,1,2
Jessore-1,3,1,2
Jessore-3,3,1,2
Jessore-5,3,1,2
Khagrachari,3,1,2
Khulna-4,3,1,2
Khulna-6,2,0,2
Kishoreganj-1,3,1,2
Kishoreganj-4,3,1,2
Lalmonirhat-1,2,0,2
Magura-1,3,1,2
Magura-2,3,1,2
Mymensingh-1,3,1,2
Mymensingh-11,3,1,2
Mymensingh-2,3,1,2
Mymensingh-3,3,1,2
Mymensingh-7,3,1,2
Narsingdi-5,3,1,2
Natore-4,3,1,2
Netrokona-2,3,1,2
Nilphamari-1,2,0,2
Nilphamari-2,2,0,2
Pabna-1,2,0,2
Pabna-4,3,1,2
Patuakhali-2,3,1,2
Pirojpur-1,2,0,2
Rajbari-1,3,1,2
Rangamati,3,1,2
Satkhira-3,2,0,2
Sherpur-2,3,1,2
Sunamganj-2,2,0,2
Sylhet-5,2,0,2
Sylhet-6,2,0,2
Thakurgaon-1,3,1,2
Thakurgaon-3,2,0,2
Bhola-1,2,1,1
Chittagong-6,2,1,1
Comilla-6,2,1,1
Comilla-9,2,1,1
Dhaka-14,1,0,1
Dhaka-15,1,0,1
Dhaka-16,1,0,1
Dhaka-18,1,0,1
Dhaka-19,1,0,1
Dhaka-20,1,0,1
Gaibandha-5,1,0,1
