year,party,votes,votes_pc,seats_fptp,seats_pr,seats_mmp,seats_fptp_pc,seats_pr_pc,seats_mmp_pc,seats_pr_sl,seats_mmp_mod,seats_pr_sl_pc,seats_mmp_mod_pc
1991,BNP,10507549,30.81,140,96,140,46.67,32.0,40.0,94,140,31.33,40.0
1991,AL,10259866,30.08,88,94,115,29.33,31.33,32.86,91,105,30.33,30.0
1991,Jamaat,4136661,12.13,18,38,29,6.0,12.67,8.29,37,42,12.33,12.0
1991,JaPa,4063537,11.92,35,37,45,11.67,12.33,12.86,36,41,12.0,11.71
1991,BAKSAL,616014,1.81,5,5,6,1.67,1.67,1.71,5,6,1.67,1.71
1991,Zaker Party,417737,1.22,0,3,1,0.0,1.0,0.29,4,2,1.33,0.57
1991,CPB,407515,1.19,5,3,5,1.67,1.0,1.43,4,5,1.33,1.43
1991,JSD (Rab),269451,0.79,0,2,0,0.0,0.67,0.0,2,0,0.67,0.0
1991,Islami Oikya Jote,269434,0.79,1,2,1,0.33,0.67,0.29,2,1,0.67,0.29
1991,NAP (Muzaffar),259978,0.76,1,2,1,0.33,0.67,0.29,2,1,0.67,0.29
1991,JaSaD (Inu),171011,0.5,0,1,0,0.0,0.33,0.0,2,0,0.67,0.0
1991,Ganatantri Party,152529,0.45,1,1,1,0.33,0.33,0.29,1,1,0.33,0.29
1991,NDP,121918,0.36,1,1,1,0.33,0.33,0.29,1,1,0.33,0.29
1991,Bangladesh Janata Dal,120729,0.35,0,1,0,0.0,0.33,0.0,1,0,0.33,0.0
1991,United Communist League of Bangladesh,110517,0.32,0,1,0,0.0,0.33,0.0,1,0,0.33,0.0
1991,Bangladesh Khilafat Andolan,93049,0.27,0,0,0,0.0,0.0,0.0,1,0,0.33,0.0
1991,FP,90781,0.27,0,0,0,0.0,0.0,0.0,1,0,0.33,0.0
1991,JSD (Siraj),84276,0.25,1,0,1,0.33,0.0,0.29,1,1,0.33,0.29
1991,Bangladesh Muslim League,66565,0.2,0,0,0,0.0,0.0,0.0,0,0,0.0,0.0
1991,Workers Party,63434,0.19,1,0,1,0.33,0.0,0.29,1,1,0.33,0.29
1991,BaSaD,34868,0.1,0,0,0,0.0,0.0,0.0,0,0,0.0,0.0
1991,Bangladesh Muslim League,32693,0.1,0,0,0,0.0,0.0,0.0,0,0,0.0,0.0
1991,Janata Mukti Party,30962,0.09,0,0,0,0.0,0.0,0.0,0,0,0.0,0.0
1991,Jatiya Ganotantrik Party,24761,0.07,0,0,0,0.0,0.0,0.0,0,0,0.0,0.0
1991,Bangladesh Inquilab Party,24310,0.07,0,0,0,0.0,0.0,0.0,0,0,0.0,0.0
1991,Jatiya Oikkya Front,21624,0.06,0,0,0,0.0,0.0,0.0,0,0,0.0,0.0
1991,Jatiya Janata Party–Ganatantrik Oikkya Jote,20568,0.06,0,0,0,0.0,0.0,0.0,0,0,0.0,0.0
1991,Jomiyatay Wulamayya Islami Party,15073,0.04,0,0,0,0.0,0.0,0.0,0,0,0.0,0.0
1991,Bangladesh Samajtantrik Dal (Mahbub),13413,0.04,0,0,0,0.0,0.0,0.0,0,0,0.0,0.0
1991,Bangladesh Hindu League,11941,0.04,0,0,0,0.0,0.0,0.0,0,0,0.0,0.0
1991,Bangladesher Sammyabadi Dal (ML),11275,0.03,0,0,0,0.0,0.0,0.0,0,0,0.0,0.0
1991,Oikkya Prakriyya,11074,0.03,0,0,0,0.0,0.0,0.0,0,0,0.0,0.0
1991,Bangladesh Muslim League,11073,0.03,0,0,0,0.0,0.0,0.0,0,0,0.0,0.0
1991,NAP (Bhashani),9129,0.03,0,0,0,0.0,0.0,0.0,0,0,0.0,0.0
1991,Pragotishil Jatiyatabadi Dal,6677,0.02,0,0,0,0.0,0.0,0.0,0,0,0.0,0.0
1991,Sramik Krishak Samajbadi Dal,6396,0.02,0,0,0,0.0,0.0,0.0,0,0,0.0,0.0
1991,Jatiya Biplobi Front,3671,0.01,0,0,0,0.0,0.0,0.0,0,0,0.0,0.0
1991,Pragotishil Ganatantrik Sakt,3598,0.01,0,0,0,0.0,0.0,0.0,0,0,0.0,0.0
1991,Jatiya Janata Party (Ashraf),3187,0.01,0,0,0,0.0,0.0,0.0,0,0,0.0,0.0
1991,Bangladesh Jatiya Tanti Dal,3115,0.01,0,0,0,0.0,0.0,0.0,0,0,0.0,0.0
1991,Bangladesh Muslim League,2757,0.01,0,0,0,0.0,0.0,0.0,0,0,0.0,0.0
1991,Jatiya Jukta Front,2668,0.01,0,0,0,0.0,0.0,0.0,0,0,0.0,0.0
1991,Jatiya Janata Party (Asad),1570,0.0,0,0,0,0.0,0.0,0.0,0,0,0.0,0.0
1991,Bangladesh National Congress,1421,0.0,0,0,0,0.0,0.0,0.0,0,0,0.0,0.0
1991,Jatiyatabadi Ganatantrik Chhashi Dal,1317,0.0,0,0,0,0.0,0.0,0.0,0,0,0.0,0.0
