year,party,votes,votes_pc,seats_fptp,seats_pr,seats_mmp,seats_fptp_pc,seats_pr_pc,seats_mmp_pc
1996,AL,15882792,37.44,146,114,146,48.67,38.0,41.71
1996,BNP,14255986,33.61,116,103,116,38.67,34.33,33.14
1996,JaPa,6954981,16.4,32,50,64,10.67,16.67,18.29
1996,Jamaat,3653013,8.61,3,26,19,1.0,8.67,5.43
1996,Islami Oikya Jote,461517,1.09,1,3,3,0.33,1.0,0.86
1996,Zaker Party,167597,0.4,0,1,0,0.0,0.33,0.0
1996,JSD (Rab),97916,0.23,1,0,1,0.33,0.0,0.29
1996,Workers Party,56404,0.13,0,0,0,0.0,0.0,0.0
1996,Gano Forum,54250,0.13,0,0,0,0.0,0.0,0.0
1996,JaSaD (Inu),50944,0.12,0,0,0,0.0,0.0,0.0
1996,CPB,48549,0.11,0,0,0,0.0,0.0,0.0
1996,Jamiat Ulema-e-Islam Bangladesh,45585,0.11,0,0,0,0.0,0.0,0.0
1996,Sammilita Sangram Parishad,40803,0.1,0,0,0,0.0,0.0,0.0
1996,FP,38974,0.09,0,0,0,0.0,0.0,0.0
1996,Samridhya Bangladesh Andolon,27083,0.06,0,0,0,0.0,0.0,0.0
1996,Bangladesh Islami Front,23696,0.06,0,0,0,0.0,0.0,0.0
1996,Bangladesh Khilafat Andolan,18397,0.04,0,0,0,0.0,0.0,0.0
1996,Bangladesh Jatiyabadi Awami League,11190,0.03,0,0,0,0.0,0.0,0.0
1996,Islami Shasantantra Andolon,11159,0.03,0,0,0,0.0,0.0,0.0
1996,BaSaD,10234,0.02,0,0,0,0.0,0.0,0.0
1996,Bangladesh Samajtantrik Dal (Mahbub),6791,0.02,0,0,0,0.0,0.0,0.0
1996,NAP (Bhashani),5948,0.01,0,0,0,0.0,0.0,0.0
1996,Bangladesh Muslim League,4580,0.01,0,0,0,0.0,0.0,0.0
1996,Ganatantri Party,4114,0.01,0,0,0,0.0,0.0,0.0
1996,NAP (Muzaffar),3620,0.01,0,0,0,0.0,0.0,0.0
1996,Democratic Republican Party,3605,0.01,0,0,0,0.0,0.0,0.0
1996,Bangladesh Janata Party,3364,0.01,0,0,0,0.0,0.0,0.0
1996,Jatiya Janata Party (Nurul Islam),2986,0.01,0,0,0,0.0,0.0,0.0
1996,Jatiya Janata Party (Sheikh Asad),2395,0.01,0,0,0,0.0,0.0,0.0
1996,Social Democratic Party,1938,0.0,0,0,0,0.0,0.0,0.0
1996,Bangladesh Gano Azadi League,1683,0.0,0,0,0,0.0,0.0,0.0
1996,Progotisil Jatiata Badi Dal,1515,0.0,0,0,0,0.0,0.0,0.0
1996,Hak Kathar Mancha,1340,0.0,0,0,0,0.0,0.0,0.0
1996,Bangladesher Sammyabadi Dal (ML),1148,0.0,0,0,0,0.0,0.0,0.0
1996,Sramik Krishak Samajbadi Dal,964,0.0,0,0,0,0.0,0.0,0.0
1996,Communist Kendra,888,0.0,0,0,0,0.0,0.0,0.0
1996,Jatiya Biplobi Front,631,0.0,0,0,0,0.0,0.0,0.0
1996,Saat Dalya Jote (Mirpur),602,0.0,0,0,0,0.0,0.0,0.0
1996,Bangladesh Hindu League,570,0.0,0,0,0,0.0,0.0,0.0
1996,Bangladesh Peoples Party,558,0.0,0,0,0,0.0,0.0,0.0
1996,Bangladesh Bekar Samaj,548,0.0,0,0,0,0.0,0.0,0.0
1996,Bangladesh Tafsil Jati Federation (S.K. Mandal),537,0.0,0,0,0,0.0,0.0,0.0
1996,Desh Prem Party,532,0.0,0,0,0,0.0,0.0,0.0
