seat,division,turnout_pc_std
Panchagarh-1,Rangpur,12.616057821021236
Panchagarh-2,Rangpur,12.616057821021236
Thakurgaon-1,Rangpur,12.616057821021236
Thakurgaon-2,Rangpur,12.616057821021236
Thakurgaon-3,Rangpur,12.616057821021236
Dinajpur-1,Rangpur,12.616057821021236
Dinajpur-2,Rangpur,12.616057821021236
Dinajpur-3,Rangpur,12.616057821021236
Dinajpur-4,Rangpur,12.616057821021236
Dinajpur-5,Rangpur,12.616057821021236
Dinajpur-6,Rangpur,12.616057821021236
Nilphamari-1,Rangpur,12.616057821021236
Nilphamari-2,Rangpur,12.616057821021236
Nilphamari-3,Rangpur,12.616057821021236
Nilphamari-4,Rangpur,12.616057821021236
Lalmonirhat-1,Rangpur,12.616057821021236
Lalmonirhat-2,Rangpur,12.616057821021236
Lalmonirhat-3,Rangpur,12.616057821021236
Rangpur-1,Rangpur,12.616057821021236
Rangpur-2,Rangpur,12.616057821021236
Rangpur-3,Rangpur,12.616057821021236
Rangpur-4,Rangpur,12.616057821021236
Rangpur-5,Rangpur,12.616057821021236
Rangpur-6,Rangpur,12.616057821021236
Kurigram-1,Rangpur,12.616057821021236
Kurigram-2,Rangpur,12.616057821021236
Kurigram-3,Rangpur,12.616057821021236
Kurigram-4,Rangpur,12.616057821021236
Gaibandha-1,Rangpur,12.616057821021236
Gaibandha-2,Rangpur,12.616057821021236
Gaibandha-3,Rangpur,12.616057821021236
Gaibandha-4,Rangpur,12.616057821021236
Gaibandha-5,Rangpur,12.616057821021236
Joypurhat-1,Rajshahi,10.90829358957141
Joypurhat-2,Rajshahi,10.90829358957141
Bogra-1,Rajshahi,10.90829358957141
Bogra-2,Rajshahi,10.90829358957141
Bogra-3,Rajshahi,10.90829358957141
Bogra-4,Rajshahi,10.90829358957141
Bogra-5,Rajshahi,10.90829358957141
Bogra-6,Rajshahi,10.90829358957141
Bogra-7,Rajshahi,10.90829358957141
Chapai Nawabganj-1,Rajshahi,10.90829358957141
Chapai Nawabganj-2,Rajshahi,10.90829358957141
Chapai Nawabganj-3,Rajshahi,10.90829358957141
Naogaon-1,Rajshahi,10.90829358957141
Naogaon-2,Rajshahi,10.90829358957141
Naogaon-3,Rajshahi,10.90829358957141
Naogaon-4,Rajshahi,10.90829358957141
Naogaon-5,Rajshahi,10.90829358957141
Naogaon-6,Rajshahi,10.90829358957141
Rajshahi-1,Rajshahi,10.90829358957141
Rajshahi-2,Rajshahi,10.90829358957141
Rajshahi-3,Rajshahi,10.90829358957141
Rajshahi-4,Rajshahi,10.90829358957141
Rajshahi-5,Rajshahi,10.90829358957141
Rajshahi-6,Rajshahi,10.90829358957141
Natore-1,Rajshahi,10.90829358957141
Natore-2,Rajshahi,10.90829358957141
Natore-3,Rajshahi,10.90829358957141
Natore-4,Rajshahi,10.90829358957141
Sirajganj-1,Rajshahi,10.90829358957141
Sirajganj-2,Rajshahi,10.90829358957141
Sirajganj-3,Rajshahi,10.90829358957141
Sirajganj-4,Rajshahi,10.90829358957141
Sirajganj-5,Rajshahi,10.90829358957141
Sirajganj-6,Rajshahi,10.90829358957141
Pabna-1,Rajshahi,10.90829358957141
Pabna-2,Rajshahi,10.90829358957141
Pabna-3,Rajshahi,10.90829358957141
Pabna-4,Rajshahi,10.90829358957141
Pabna-5,Rajshahi,10.90829358957141
Meherpur-1,Khulna,9.678709748976527
Meherpur-2,Khulna,9.678709748976527
Kushtia-1,Khulna,9.678709748976527
Kushtia-2,Khulna,9.678709748976527
Kushtia-3,Khulna,9.678709748976527
Kushtia-4,Khulna,9.678709748976527
Chuadanga-1,Khulna,9.678709748976527
Chuadanga-2,Khulna,9.678709748976527
Jhenaidah-1,Khulna,9.678709748976527
Jhenaidah-2,Khulna,9.678709748976527
Jhenaidah-3,Khulna,9.678709748976527
Jhenaidah-4,Khulna,9.678709748976527
Jessore-1,Khulna,9.678709748976527
Jessore-2,Khulna,9.678709748976527
Jessore-3,Khulna,9.678709748976527
Jessore-4,Khulna,9.678709748976527
Jessore-5,Khulna,9.678709748976527
Jessore-6,Khulna,9.678709748976527
Magura-1,Khulna,9.678709748976527
Magura-2,Khulna,9.678709748976527
Narail-1,Khulna,9.678709748976527
Narail-2,Khulna,9.678709748976527
Bagerhat-1,Khulna,9.678709748976527
Bagerhat-2,Khulna,9.678709748976527
Bagerhat-3,Khulna,9.678709748976527
Bagerhat-4,Khulna,9.678709748976527
Khulna-1,Khulna,9.678709748976527
Khulna-2,Khulna,9.678709748976527
Khulna-3,Khulna,9.678709748976527
Khulna-4,Khulna,9.678709748976527
Khulna-5,Khulna,9.678709748976527
Khulna-6,Khulna,9.678709748976527
Satkhira-1,Khulna,9.678709748976527
Satkhira-2,Khulna,9.678709748976527
Satkhira-3,Khulna,9.678709748976527
Satkhira-4,Khulna,9.678709748976527
Barguna-1,Barisal,15.376000980829346
Barguna-2,Barisal,15.376000980829346
Patuakhali-1,Barisal,15.376000980829346
Patuakhali-2,Barisal,15.376000980829346
Patuakhali-3,Barisal,15.376000980829346
Patuakhali-4,Barisal,15.376000980829346
Bhola-1,Barisal,15.376000980829346
Bhola-2,Barisal,15.376000980829346
Bhola-3,Barisal,15.376000980829346
Bhola-4,Barisal,15.376000980829346
Barisal-1,Barisal,15.376000980829346
Barisal-2,Barisal,15.376000980829346
Barisal-3,Barisal,15.376000980829346
Barisal-4,Barisal,15.376000980829346
Barisal-5,Barisal,15.376000980829346
