seat,turnout_pc_med
Rajshahi-6,91.6
Rajshahi-4,90.1
Gazipur-5,89.1
Natore-1,89
Jessore-2,88.85
Jhenaidah-3,88.75
Dhaka-20,88.5
Satkhira-1,88.3
Meherpur-1,88.2
Chapai Nawabganj-1,87.9
Rajshahi-1,87.85
Satkhira-4,87.6
Jessore-6,87.55
Kushtia-1,87.35
Jessore-1,87.25
Chuadanga-2,87.2
Meherpur-2,87.1
Natore-2,87
Naogaon-3,86.75
Rajshahi-5,86.7
Naogaon-4,86.6
Jhenaidah-1,86.55
Jessore-5,86.55
Satkhira-2,86.4
Naogaon-2,86.35
Naogaon-6,86.1
Bogra-3,86.05
Khulna-5,86
Kushtia-2,85.8
Chuadanga-1,85.8
Khulna-6,85.45
Natore-4,85.4
Satkhira-3,85.4
Naogaon-5,85.3
Rajshahi-3,85.1
Jessore-4,85.1
Jhenaidah-2,85.05
Joypurhat-2,85.05
Magura-2,84.95
Bogra-4,84.45
Joypurhat-1,84.35
Kushtia-4,84.15
Panchagarh-1,83.98
Natore-3,83.95
Pabna-3,83.95
Magura-1,83.75
Kushtia-3,83.55
Dinajpur-2,83.5
Chapai Nawabganj-3,83.45
Gopalganj-3,83.3
Jhenaidah-4,83.05
Thakurgaon-1,83
Pabna-1,83
Pabna-4,82.95
Bogra-2,82.75
Moulvibazar-1,82.5
Thakurgaon-3,82.4
Khulna-1,82.3
Bagerhat-1,82.3
Bagerhat-2,82.15
Faridpur-1,82.1
Narsingdi-3,81.95
Tangail-4,81.95
Gazipur-3,81.8
Sirajganj-3,81.7
Narayanganj-2,81.65
Thakurgaon-2,81.6
Narsingdi-4,81.6
Sunamganj-2,81.6
Jessore-3,81.4
Bogra-7,81.35
Dinajpur-3,81.1
Narsingdi-2,81.05
Panchagarh-2,80.9
Dinajpur-5,80.9
Rajshahi-2,80.7
Rangpur-4,80.7
Dinajpur-4,80.65
Pabna-2,80.55
Dinajpur-1,80.5
Manikganj-3,80.4
Nilphamari-2,80.2
Faridpur-3,80.15
Dinajpur-6,80.1
Tangail-7,80.05
